,sepal_length,sepal_width,petal_length,petal_width
sample_1,5.1,3.5,1.4,0.2
sample_2,,3,1.4,0.2
sample_3,4.7,3.2,1.3,0.2
sample_4,4.6,3.1,1.5,0.2
sample_5,5,3.6,1.4,0.2
sample_6,5.4,3.9,1.7,0.4
sample_7,4.6,3.4,1.4,0.3
sample_8,5,3.4,1.5,0.2
sample_9,4.4,2.9,1.4,0.2
sample_10,4.9,3.1,1.5,0.1
sample_11,5.4,3.7,1.5,0.2
sample_12,4.8,3.4,1.6,0.2
sample_13,4.8,3,1.4,0.1
sample_14,4.3,3,1.1,0.1
sample_15,5.8,4,1.2,0.2
sample_16,5.7,4.4,1.5,0.4
sample_17,5.4,3.9,1.3,0.4
sample_18,5.1,3.5,1.4,0.3
sample_19,5.7,3.8,1.7,0.3
sample_20,5.1,3.8,1.5,0.3
sample_21,5.4,3.4,1.7,0.2
sample_22,5.1,3.7,1.5,0.4
sample_23,4.6,3.6,1,0.2
sample_24,5.1,3.3,1.7,0.5
sample_25,4.8,3.4,1.9,0.2
sample_26,5,3,1.6,0.2
sample_27,5,3.4,1.6,0.4
sample_28,5.2,3.5,1.5,0.2
sample_29,5.2,3.4,1.4,0.2
sample_30,4.7,3.2,1.6,0.2
sample_31,4.8,3.1,1.6,0.2
sample_32,5.4,3.4,1.5,0.4
sample_33,5.2,4.1,1.5,0.1
sample_34,5.5,4.2,1.4,0.2
sample_35,4.9,3.1,1.5,0.2
sample_36,5,3.2,1.2,0.2
sample_37,5.5,3.5,1.3,0.2
sample_38,4.9,3.6,1.4,0.1
sample_39,4.4,3,1.3,0.2
sample_40,5.1,3.4,1.5,0.2
sample_41,5,3.5,1.3,0.3
sample_42,4.5,2.3,1.3,0.3
sample_43,4.4,3.2,1.3,0.2
sample_44,5,3.5,1.6,0.6
sample_45,5.1,3.8,1.9,0.4
sample_46,4.8,3,1.4,0.3
sample_47,5.1,3.8,1.6,0.2
sample_48,4.6,3.2,1.4,0.2
sample_49,5.3,3.7,1.5,0.2
sample_50,5,3.3,1.4,0.2
sample_51,7,3.2,4.7,1.4
sample_52,6.4,3.2,,1.5
sample_53,6.9,3.1,4.9,1.5
sample_54,5.5,2.3,4,1.3
sample_55,6.5,2.8,4.6,1.5
sample_56,5.7,2.8,4.5,1.3
sample_57,6.3,3.3,4.7,1.6
sample_58,4.9,2.4,3.3,1
sample_59,6.6,2.9,4.6,1.3
sample_60,5.2,2.7,3.9,1.4
sample_61,5,2,3.5,1
sample_62,5.9,3,4.2,1.5
sample_63,,,,1
sample_64,6.1,2.9,4.7,1.4
sample_65,5.6,2.9,3.6,1.3
sample_66,6.7,3.1,4.4,1.4
sample_67,5.6,3,4.5,1.5
sample_68,5.8,2.7,4.1,1
sample_69,6.2,2.2,4.5,1.5
sample_70,5.6,2.5,3.9,1.1
sample_71,5.9,3.2,4.8,1.8
sample_72,6.1,2.8,4,1.3
sample_73,6.3,2.5,4.9,1.5
sample_74,6.1,2.8,4.7,1.2
sample_75,6.4,2.9,4.3,1.3
sample_76,6.6,3,4.4,1.4
sample_77,6.8,2.8,4.8,1.4
sample_78,6.7,3,5,1.7
sample_79,6,2.9,4.5,1.5
sample_80,5.7,2.6,3.5,1
sample_81,5.5,2.4,3.8,1.1
sample_82,5.5,2.4,3.7,1
sample_83,5.8,2.7,3.9,1.2
sample_84,6,2.7,5.1,1.6
sample_85,5.4,3,4.5,1.5
sample_86,6,3.4,4.5,1.6
sample_87,6.7,3.1,4.7,1.5
sample_88,6.3,2.3,4.4,1.3
sample_89,5.6,3,4.1,1.3
sample_90,5.5,2.5,4,1.3
sample_91,5.5,2.6,4.4,1.2
sample_92,6.1,3,4.6,1.4
sample_93,5.8,2.6,4,1.2
sample_94,5,2.3,3.3,1
sample_95,5.6,2.7,4.2,1.3
sample_96,5.7,3,4.2,1.2
sample_97,5.7,2.9,4.2,1.3
sample_98,6.2,2.9,4.3,1.3
sample_99,5.1,2.5,3,1.1
sample_100,5.7,2.8,4.1,1.3
sample_101,6.3,3.3,6,2.5
sample_102,5.8,2.7,5.1,1.9
sample_103,7.1,3,5.9,2.1
sample_104,6.3,2.9,5.6,1.8
sample_105,6.5,3,5.8,2.2
sample_106,7.6,3,6.6,2.1
sample_107,4.9,2.5,4.5,1.7
sample_108,7.3,2.9,6.3,1.8
sample_109,6.7,2.5,5.8,1.8
sample_110,7.2,3.6,6.1,2.5
sample_111,6.5,3.2,5.1,2
sample_112,6.4,2.7,5.3,1.9
sample_113,6.8,3,5.5,2.1
sample_114,5.7,,5,2
sample_115,5.8,2.8,5.1,2.4
sample_116,6.4,3.2,5.3,2.3
sample_117,6.5,3,5.5,1.8
sample_118,7.7,3.8,6.7,2.2
sample_119,7.7,2.6,6.9,2.3
sample_120,6,2.2,5,1.5
sample_121,6.9,3.2,5.7,2.3
sample_122,5.6,2.8,4.9,2
sample_123,7.7,2.8,6.7,2
sample_124,6.3,2.7,4.9,1.8
sample_125,6.7,3.3,5.7,2.1
sample_126,7.2,3.2,6,1.8
sample_127,6.2,2.8,4.8,1.8
sample_128,6.1,3,4.9,1.8
sample_129,6.4,2.8,5.6,2.1
sample_130,7.2,3,5.8,1.6
sample_131,7.4,2.8,6.1,1.9
sample_132,7.9,3.8,6.4,2
sample_133,6.4,2.8,5.6,2.2
sample_134,6.3,2.8,5.1,1.5
sample_135,6.1,2.6,5.6,1.4
sample_136,7.7,3,6.1,2.3
sample_137,6.3,3.4,5.6,2.4
sample_138,6.4,3.1,5.5,1.8
sample_139,6,3,,
sample_140,6.9,3.1,5.4,2.1
sample_141,6.7,3.1,5.6,2.4
sample_142,6.9,3.1,5.1,2.3
sample_143,5.8,2.7,5.1,1.9
sample_144,6.8,3.2,5.9,2.3
sample_145,6.7,3.3,5.7,2.5
sample_146,6.7,3,5.2,2.3
sample_147,6.3,2.5,5,1.9
sample_148,6.5,3,5.2,2
sample_149,6.2,3.4,5.4,2.3
sample_150,5.9,3,5.1,1.8
