,SMILES,boiling point
sample 1,C=CC#N,350.5
sample 2,C=CC=O,325.8
sample 3,C=CC(=O)O,414.2
sample 4,C=CCCl,318.1
sample 5,C=CC,225.4
sample 6,CC(Cl)=CCl,361.3
sample 7,C=CCO,370.2
sample 8,CC=COC=CC,278.7
sample 9,CCC=O,321.2
sample 10,O=COCC,327.5
sample 11,O=C(OC)C,330.1
sample 12,CCC(=O)O,414.3
sample 13,CCCBr,344.1
sample 14,CC(C)Cl,308.9
sample 15,CCCCl,319.7
sample 16,C=CCN,326.5
sample 17,CCC,231.1
sample 18,CCCOCCC,280.5
sample 19,CCCO,370.4
sample 20,COCOC,315
sample 21,CC(O)CO,460.8
sample 22,CC(C)N,305.6
sample 23,CCCN,321.6
sample 24,CN(C)C,276
sample 25,C=CC=C,268.7
sample 26,C=COC=C,301.5
sample 27,C=C(C)C=O,341.1
sample 28,C=CC(=O)OC,353.4
sample 29,C=COC(C)=O,345.6
sample 30,CCCC#N,390.8
sample 31,C=CCC,266.9
sample 32,CC=CC,276.9
sample 33,CC=CC,274
sample 34,C=C(C)C,266.3
sample 35,CCCC=O,348
sample 36,CC(C)C=O,337.3
sample 37,CCC(C)=O,352.8
sample 38,C1CCOC1,338
sample 39,CCCC(=O)O,436.4
sample 40,CCOC(C)=O,350.2
sample 41,CC(C)C(=O)O,427.9
sample 42,CCC(=O)OC,352.6
sample 43,CCCOC=O,354
sample 44,CCCCBr,374.9
sample 45,CCCCCl,351.6
sample 46,CCCC,272.6
sample 47,CC(C)C,261.4
sample 48,CCCCO,390.8
sample 49,CCC(C)O,372.7
sample 50,CC(C)(C)O,355.6
sample 51,CCOCC,308.6
sample 52,CC(C)CO,380.8
sample 53,CC(O)CCO,480.1
sample 54,CCCCN,350.6
sample 55,CCNCC,328.6
sample 56,CC(C)CN,340.9
sample 57,c1ccncc1,388.4
sample 58,C1=CCCC1,317.4
sample 59,C=CC(=C)C,307.2
sample 60,CC(=O)CC(C)=O,413.6
sample 61,C=CCOC(C)=O,377.1
sample 62,C=CC(=O)OCC,372.6
sample 63,C1CCCC1,322.4
sample 64,C=CCCC,303.1
sample 65,CCC(=O)CC,375.1
sample 66,CCCC(C)=O,375.5
sample 67,CCCCC=O,376.1
sample 68,CCOC(=O)CC,372.3
sample 69,CC(C)COC=O,371.2
sample 70,CC(=O)OCCC,374.6
sample 71,CCCCC(=O)O,458.6
sample 72,CCCCCCl,381.5
sample 73,CCC(C)C,301
sample 74,CC(C)(C)C,282.6
sample 75,CCCCC,309.2
sample 76,CCC(C)CO,401.9
sample 77,CCC(C)(C)O,375.1
sample 78,CC(C)CCO,404.4
sample 79,CC(C)C(C)O,384.6
sample 80,CCCCCO,411
sample 81,CCCC(C)O,392.1
sample 82,CCC(O)CC,388.5
sample 83,CC(C)(CO)CO,483
sample 84,OCCCCCO,512.1
sample 85,Clc1ccccc1Cl,453.6
sample 86,Brc1ccccc1,429.2
sample 87,Clc1ccccc1,404.9
sample 88,c1ccccc1,353.2
sample 89,Oc1ccccc1,455
sample 90,Oc1ccc(O)cc1,558.1
sample 91,Nc1ccccc1,457.6
sample 92,Cc1ccccn1,402.6
sample 93,N#CCCCCC#N,568.1
sample 94,C1=CCCCC1,356.1
sample 95,O=C1CCCCC1,428.9
sample 96,CC(=O)C=C(C)C,403
sample 97,C1CCCCC1,353.9
sample 98,C=C(C)C(C)C,328.8
sample 99,CC(C)=C(C)C,346.4
sample 100,C=C(CC)CC,337.8
sample 101,C=CCCCC,336.6
sample 102,CC=CCCC,342
sample 103,CC=CCCC,341
sample 104,CC1CCCC1,345
sample 105,C=C(C)CCC,335.3
sample 106,C=CCC(C)C,327
sample 107,CCCCC=COC=CCCCC,367
sample 108,OC1CCCCC1,434
sample 109,CCCCC(C)=O,400.9
sample 110,CC(=O)CC(C)C,389.6
sample 111,CCCC(=O)OCC,394.6
sample 112,CCC(CC)C(=O)O,467
sample 113,CCCCCC(=O)O,478.9
sample 114,CC(=O)OCC(C)C,389.8
sample 115,NC1CCCCC1,407.6
sample 116,CCC(C)(C)C,322.9
sample 117,CC(C)C(C)C,331.1
sample 118,CCCCCC,341.9
sample 119,CCCC(C)C,333.4
sample 120,CCC(C)CC,336.4
sample 121,CC(C)OC(C)C,341.5
sample 122,CCCOCCC,362.8
sample 123,CCOC(C)OCC,376.8
sample 124,CC(C)NC(C)C,357.2
sample 125,CCCNCCC,382
sample 126,O=Cc1ccccc1,451.9
sample 127,O=C(O)c1ccccc1,522.4
sample 128,Cc1ccccc1,383.8
sample 129,OCc1ccccc1,477.9
sample 130,Cc1cccc(O)c1,475.4
sample 131,Cc1ccccc1O,464.1
sample 132,Cc1cccc(N)c1,476.6
sample 133,Cc1ccccc1N,473.6
sample 134,C=CC(=O)OCCCC,421
sample 135,C=CC(=O)OCC(C)C,405.1
sample 136,CCC1CCCC1,376.6
sample 137,CCC(C)C(C)C,362.9
sample 138,CCCCCCC,371.6
sample 139,CCCCC(C)C,363.2
sample 140,CCCC(C)CC,365
sample 141,C=Cc1ccccc1,418.3
sample 142,CC(=O)c1ccccc1,475.1
sample 143,CCc1ccccc1,409.4
sample 144,Cc1cccc(C)c1,412.3
sample 145,Cc1ccc(C)cc1,411.5
sample 146,Cc1cccc(C)c1O,474.2
sample 147,CN(C)c1ccccc1,466.7
sample 148,CC1CCCCC1C,402.9
sample 149,CC1CCCCC1C,396.6
sample 150,CC1CCCC(C)C1,393.2
sample 151,CC1CCCC(C)C1,397.6
sample 152,CC1CCC(C)CC1,397.5
sample 153,CC1CCC(C)CC1,392.5
sample 154,CCC1CCCCC1,405
sample 155,CCCC1CCCC1,404.1
sample 156,C=C(C)CC(C)(C)C,374.6
sample 157,CC(C)=CC(C)(C)C,378.1
sample 158,CC(C)COC(=O)C(C)C,420.6
sample 159,CCCC(C)C(C)C,388.8
sample 160,CCC(CC)C(C)C,388.8
sample 161,CCCCCCCC,398.1
sample 162,CCC(C)C(C)(C)C,383
sample 163,CC(C)CC(C)(C)C,372.4
sample 164,CCC(C)(C)C(C)C,387.9
sample 165,CCCCOCCCC,413.4
sample 166,CCCCC(CC)CO,457.8
sample 167,c1ccc2ncccc2c1,510.8
sample 168,C=C(C)c1ccccc1,438.6
sample 169,CCOC(=O)c1ccccc1,486.6
sample 170,CC(C)c1ccccc1,425.6
sample 171,CCc1ccccc1C,438.3
sample 172,CCc1ccc(C)cc1,435.2
sample 173,Cc1cc(C)cc(C)c1,437.9
sample 174,CCCc1ccccc1,432.4
sample 175,Cc1cccc(C)c1C,449.3
sample 176,Cc1ccc(C)c(C)c1,442.5
sample 177,CC1=CC(=O)CC(C)(C)C1,488.4
sample 178,CCCC1CCCCC1,429.9
sample 179,CCC(CC)(CC)CC,419.3
sample 180,CCCCCCCCC,424
sample 181,CCC(C)(C)C(C)(C)C,413.4
sample 182,COC(=O)c1ccc(C(=O)OC)cc1,561.1
sample 183,c1ccc2c(c1)CCCC2,480.8
sample 184,CCCCc1ccccc1,456.5
sample 185,CC(C)(C)c1ccccc1,442.3
sample 186,Cc1ccc(C(C)C)cc1,450.3
sample 187,CCc1cccc(CC)c1,454.3
sample 188,CCc1ccccc1CC,456.6
sample 189,CC(C)Cc1ccccc1,445.9
sample 190,CCCCC1CCCCC1,454.1
sample 191,CCCCCCCCCC,447.3
sample 192,CCCCC(CC)COC(=O)C=C,489.1
sample 193,c1ccc(Oc2ccccc2)cc1,531.5
sample 194,c1ccc(Nc2ccccc2)cc1,575.1
sample 195,CCOC(=O)c1ccccc1C(=O)OCC,567.1
sample 196,CC(C)c1cccc(C(C)C)c1,476.3
sample 197,C=CCCCCCCCCCC,486.5
sample 198,CCCCCCCCCCCC,489.5
sample 199,CCCCCCOCCCCCC,498.9
sample 200,c1ccc(Cc2ccccc2)cc1,537.4
sample 201,O=C(OCc1ccccc1)c1ccccc1,596.6
sample 202,c1ccc(CCc2ccccc2)cc1,553.6
sample 203,C=CCCCCCCCCCCCC,524.2
sample 204,CCCCCCCCCCCCCC,526.7
sample 205,CCCCOC(=O)c1ccccc1C(=O)OCCCC,613.1
sample 206,C=CCCCCCCCCCCCCCC,558
sample 207,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,622.1
sample 208,C=CCCCCCCCCCCCCCCCC,588
sample 209,CCCCCCCCCCCCCCCCCC(=O)O,648.3
sample 210,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,589.9
sample 211,CCCCCCCCCCCCCCCCCCC,603
sample 212,CCCCCCCCCCCCCCCCCC(=O)OCCCC,623.1
sample 213,C=C(C)C(C)=O,371.1
sample 214,CCC(Cl)Cl,361.3
sample 215,ClCCCCl,393.6
sample 216,OCCCO,487.6
sample 217,CC(C)C#N,376.8
sample 218,ClCCCCCl,427.1
sample 219,CCC(C)Br,364.4
sample 220,CCC(C)Cl,341.3
sample 221,COC(C)C,323.8
sample 222,OCCCCO,501.1
sample 223,CC(O)C(C)O,453.9
sample 224,CCC(C)N,336.1
sample 225,CC(C)(C)N,317.6
sample 226,CCCCC#N,414.5
sample 227,C=C(C)CC,304.3
sample 228,CC=C(C)C,311.7
sample 229,C=CC(C)C,293.2
sample 230,ClCCCCCCl,453.1
sample 231,CC(=O)C(C)C,367.6
sample 232,CC(=O)OC(C)C,361.6
sample 233,CCC(C)C(=O)O,450.1
sample 234,CCCC(=O)OC,375.9
sample 235,C1CCNCC1,379.6
sample 236,CC(C)(C)CO,386.3
sample 237,CCC(C)COCC(C)CC,337
sample 238,CCCC(C)OC(C)CCC,332.1
sample 239,COC(C)(C)C,328.4
sample 240,COCC(C)C,331.7
sample 241,CCCCCN,377.6
sample 242,Cc1cccnc1,417.3
sample 243,C1=CCCC=C1,353.5
sample 244,CC1=CC=CC1,345.9
sample 245,C=C(C)C(=C)C,341.9
sample 246,C=CCCC=C,332.6
sample 247,CCCCCC#N,436.8
sample 248,C=CC(C)(C)C,314.4
sample 249,CCC=C(C)C,340.5
sample 250,C=CC(C)CC,327.3
sample 251,CC(=O)C(C)C,386.6
sample 252,CCCCCC=O,401.5
sample 253,CCCC(=O)CC,396.6
sample 254,CCC(C)OC(C)=O,385.1
sample 255,CC(=O)OC(C)(C)C,369.1
sample 256,CCOC(=O)C(C)C,383
sample 257,CCCOC(=O)CC,395.6
sample 258,CCCCOCC,365.4
sample 259,CCC(CC)CO,419.6
sample 260,CCCCCCO,430.1
sample 261,CCCCC(C)O,413
sample 262,CCCC(C)CO,421.1
sample 263,CC(C)CC(C)O,404.9
sample 264,CCC(C)(CC)OC(C)(CC)CC,359.5
sample 265,OCCCCCCO,516.1
sample 266,CCCCCCN,404.6
sample 267,CC(C)=O,329.4
sample 268,CC(C)O,355.4
sample 269,CCC=COC=CCC,308.7
sample 270,C1=CCC=C1,314.6
sample 271,CCCCOC=O,379.3
sample 272,CC(C)CC(=O)O,448.3
sample 273,CCCCOC(C)=O,399.1
sample 274,C1CCCNCC1,404.9
sample 275,Cc1ccc(O)cc1,475.1
sample 276,Cc1ccc(N)cc1,473.4
sample 277,C=CCCCCC,366.8
sample 278,CC1CCCCC1,374.1
sample 279,CC(C)C(C)(C)C,354
sample 280,Cc1ccccc1C,417.6
sample 281,C=CCCCCCC,394.4
sample 282,CC(=O)OCc1ccccc1,486.6
sample 283,COC(=O)c1ccccc1C(=O)OC,556.8
sample 284,CCC(C)c1ccccc1,446.5
sample 285,CCc1ccc(CC)cc1,456.9
sample 286,C=CCCCCCCCC,443.8
sample 287,CCCCCCCCCCO,503.4
sample 288,CC(C)c1ccc(C(C)C)cc1,483.6
sample 289,CC(c1ccccc1)c1ccccc1,545.8
sample 290,CCCCCCCCCCCCCCCC,560
sample 291,CC(C)Br,332.6
sample 292,CC(C)(C)Cl,323.8
sample 293,Cc1ccncc1,418.5
sample 294,CCCCCOC=O,406.6
